Designator,Mid X,Mid Y,Rotation,Layer
CN1,12.7,26.67,0.0,top
CN2,7.62,29.21,180.0,top
CN3,25.4,29.21,180.0,top
J1,13.97,12.7,270.0,top
J2,5.08,6.35,180.0,top
J3,19.05,45.72,90.0,top
J4,5.08,49.53,0.0,top
LED1,11.43,50.8,0.0,top
LED2,21.59,7.62,0.0,top
Q1,12.7,17.78,0.0,top
R1,12.7,15.24,0.0,top
R2,12.7,22.86,0.0,top
R3,12.7,27.94,0.0,top
R4,12.7,25.4,0.0,top
R5,12.7,43.33875,90.0,top
R6,22.86,15.24,270.0,top
